project_ID,Patch_no,Patch_ID,Pre_post,Patch_hab_type,Area_m2,Area_ha,Total_hab_type_in_map_ha,Total_hab_type_in_metric_ha,Percent_difference,Match_to_pre/post,Bordering_hab,Bordering_hab_urban,Broad_hab,Distance to nearest recorded broad hab type (post-only),Part_of_larger_unit,Area_contiguous_m2,Habs_within_contiguous,Notes
1,1,1.1,pre,Modified grassland,11492.772,1.1492772,1.1492772,1.38,-18.24416873,"Yes, partially - postdev grassland, 1.6,7,8,11","Urban (offsite), lowland mixed deciduous woodland",Yes,Grassland,,Yes,1.3842528,"Modified grassland, bramble scrub, mixed scrub, lowland mixed deciduous woodland",
1,2,1.2,pre,Bramble scrub,1059.626,0.1059626,0.1086569,0.13,-17.88601126,No,"Urban (offsite), lowland mixed deciduous woodland",Yes,Heathland and shrub,,Yes,,"Modified grassland, bramble scrub, mixed scrub, lowland mixed deciduous woodland",
1,3,1.3,pre,Mixed scrub,548.032,0.0548032,0.0548032,0.05,9.166132332,No,"Urban (offsite), bramble scrub",Yes,Heathland and shrub,,Yes,,"Modified grassland, bramble scrub, mixed scrub, lowland mixed deciduous woodland",
1,4,1.4,pre,Lowland mixed deciduous woodland,715.155,0.0715155,0.0715155,0.05,35.41194333,"Yes, 1.9","Modified grassland, bramble scrub",No,Woodland and forest,,Yes,,"Modified grassland, bramble scrub, mixed scrub, lowland mixed deciduous woodland",
1,5,1.5,pre,Bramble scrub,26.943,0.0026943,0.1086569,0.13,,No,"Modified grassland, urban",Yes,Heathland and shrub,,Yes,,"Modified grassland, bramble scrub, mixed scrub, lowland mixed deciduous woodland",
1,6,1.6,post,Other neutral grassland,2172.257,0.2172257,0.3552403,0.17,70.53544825,"Yes, partially 1.1","Urban, lowland mixed deciduous woodland",Yes,Grassland,,Yes,0.4092396,"Other neutral grassland, lowland mixed deciduous woodland, non-priority ponds","The post-dev numbers are all completely different because they have done a BNG assessment in the outline application which got approved, but then in the reserved matters they have changed the layout of the development with a lot less habitat features, and not submitted an updated BNG to go with this. "
1,7,1.7,post,Other neutral grassland,927.688,0.0927688,0.3552403,0.17,,"Yes, partially 1.1","Urban, lowland mixed deciduous woodland",Yes,Grassland,,Yes,,"Other neutral grassland, lowland mixed deciduous woodland, non-priority ponds","The post-dev numbers are all completely different because they have done a BNG assessment in the outline application which got approved, but then in the reserved matters they have changed the layout of the development with a lot less habitat features, and not submitted an updated BNG to go with this. "
1,8,1.8,post,Other neutral grassland,452.5,0.0452458,0.3552403,0.17,,"Yes, partially 1.1",Urban,Yes,Grassland,,No,NA,NA,"The post-dev numbers are all completely different because they have done a BNG assessment in the outline application which got approved, but then in the reserved matters they have changed the layout of the development with a lot less habitat features, and not submitted an updated BNG to go with this. "
1,9,1.9,post,Lowland mixed deciduous woodland,709.002,0.0709002,0.0709002,0.05,34.57430178,"Yes, 1.4",Other neutral grassland,No,Woodland and forest,,Yes,0.4092396,"Other neutral grassland, lowland mixed deciduous woodland, non-priority ponds","The post-dev numbers are all completely different because they have done a BNG assessment in the outline application which got approved, but then in the reserved matters they have changed the layout of the development with a lot less habitat features, and not submitted an updated BNG to go with this. "
1,10,1.1,post,Ponds (non-priority habitat),283.449,0.0283449,0.0283449,0.03,-5.673503597,No,Other neutral grassland,No,Lakes,,Yes,,"Other neutral grassland, lowland mixed deciduous woodland, non-priority ponds","The post-dev numbers are all completely different because they have done a BNG assessment in the outline application which got approved, but then in the reserved matters they have changed the layout of the development with a lot less habitat features, and not submitted an updated BNG to go with this. "
1,11,1.11,post,Modified grassland,20.297,0.0020297,0.0020297,0,200,"Yes, partially 1.1",Urban,Yes,Grassland,,No,NA,NA,"The post-dev numbers are all completely different because they have done a BNG assessment in the outline application which got approved, but then in the reserved matters they have changed the layout of the development with a lot less habitat features, and not submitted an updated BNG to go with this. "
2,1,2.1,pre,Modified grassland,171.766,0.0171766,0.3869213,0.42,-8.198742554,"Yes, 2.4","Urban, offsite urban",Yes,Grassland,,No,NA,NA,Large size discrepancy to its corresponding patch in the post-dev - bad mapping?
2,2,2.2,pre,Modified grassland,2136.474,0.2136474,0.3869213,0.42,,"Yes, 2.5","Urban, offsite cropland",Yes,Grassland,,No,NA,NA,
2,3,2.3,pre,Modified grassland,1560.973,0.1560973,0.3869213,0.42,,"Yes, 2.6",Offsite cropland,Cropland,Grassland,,No,NA,NA,"Note: this is the grass crete of the track which they've included as mod grass, though they've actually put that as built up in the predev map. "
2,4,2.4,post,Modified grassland,297.982,0.0297982,0.2116634,0.2324,-9.339477201,"Yes, 2.1","Urban, offsite cropland",Yes,Grassland,,No,NA,NA,Large size discrepancy to its corresponding patch in the pre-dev - bad mapping?
2,5,2.5,post,Modified grassland,257.679,0.0257679,0.2116634,0.2324,,"Yes, 2.2","Urban, offsite cropland",Yes,Grassland,,No,NA,NA,"This is wildflower, so unsure whether it should really be categorised as ONG"
2,6,2.6,post,Modified grassland,1560.973,0.1560973,0.2116634,0.2324,,"Yes, 2.2",Offsite cropland,Cropland,Grassland,,No,NA,NA,"Note: this is the grass crete of the track which they've included as mod grass, though they've actually put that as built up in the predev map. "
5,1,5.1,pre,Other woodland; broadleaved,1393.839,0.1393839,0.1393839,0.1387,0.491865944,"Yes, 5.3","Rhodedendron scrub, offsite urban",Yes,Woodland and forest,,Yes,0.2311453,"Other woodland; broadleaved, rhodedendron scrub",
5,2,5.2,pre,Rhodedendron scrub,917.614,0.0917614,0.0917614,0.0917,0.066935061,No,Other woodland; broadleaved,No,Heathland and shrub,,Yes,,"Other woodland; broadleaved, rhodedendron scrub",
5,3,5.3,post,Other woodland; broadleaved,572.179,0.0572179,0.0572179,0.2069,-113.3449115,"Yes, 5.1",Urban,Yes,Woodland and forest,,Yes,0.0867228,"Other woodland; broadleaved, other neutral grassland","This is clearly a weird mistake in the metric: they have made it clear that they're removing some trees and in the metric have put that they're retaining 0.0682 ha (which makes sense), but then have said they're enhancing 0.1387 ha (the whole area of the predev woodland), meaning there's a greater area of trees after despite there being no creation."
5,4,5.4,post,Other neutral grassland,295.049,0.0295049,0.0295049,0.0274,7.397956942,No,"Other woodland; broadleaved, urban",Yes,Grassland,,Yes,,"Other woodland; broadleaved, other neutral grassland",There is also supposed to be some mixed scrub but it's not apparent at all from ANY of the drawings
6,1,6.1,pre,Ponds (non-priority habitat),82.176,0.0082176,0.0749523,0.05,39.93892069,Yes,Modified grassland,No,Lakes,,Yes,23.35,"If modified grassland included, the whole thing is uninterrupted semi-natural habitat",
6,2,6.2,pre,Ponds (non-priority habitat),162.25,0.016225,0.0749523,0.05,,Yes,Modified grassland,No,Lakes,,Yes,,"If modified grassland included, the whole thing is uninterrupted semi-natural habitat",
6,3,6.3,pre,Ponds (priority habitat),259.142,0.0259142,0.3484844,0.08,125.3181679,Yes,Semi-natural broadleaved woodland (Woodland and forest - Lowland mixed deciduous woodland),No,Lakes,,Yes,,"If modified grassland included, the whole thing is uninterrupted semi-natural habitat",
6,4,6.4,pre,Ponds (priority habitat),1110.143,0.1110143,0.3484844,0.08,,Yes,Semi-natural broadleaved woodland (Woodland and forest - Lowland mixed deciduous woodland),No,Lakes,,Yes,,"If modified grassland included, the whole thing is uninterrupted semi-natural habitat",
6,5,6.5,pre,Ponds (priority habitat),423.876,0.0423876,0.3484844,0.08,,Yes,Semi-natural broadleaved woodland (Woodland and forest - Lowland mixed deciduous woodland),No,Lakes,,Yes,,"If modified grassland included, the whole thing is uninterrupted semi-natural habitat",
6,6,6.6,pre,Ponds (priority habitat),1691.683,0.1691683,0.3484844,0.08,,Yes,Semi-natural broadleaved woodland (Woodland and forest - Lowland mixed deciduous woodland),No,Lakes,,Yes,,"If modified grassland included, the whole thing is uninterrupted semi-natural habitat",
